Total Records,,Delay Rate,,,,,,,,,,
25713,,35.37%,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Total Delays,,,,,,,,--- 1. LINE PERFORMANCE ---,,,,
9094,,,,,,,,Line,Total Incidents,Delayed Incidents,Delay Rate (%),Avg Delay (Min)
LAWRENCE WEST TO ST AN,1,0,,,,,,,,,,
LAWRENCE WEST CT,1,0,,,,,,,,,,
LAWRENCE STATION TO YO,1,40,,,,,,,,,,
LAWRENCE STATION APPRO,1,13,,,,,,,,,,
LANSDOWN TO ISLINGTON,1,0,,,,,,,,,,
LANDSDOWNE STATION,1,0,,,,,,,,,,
KIPLING TO JANE STATIO,1,0,,,,,,,,,,
KIPLING TO JANE,1,0,,,,,,,,,,
KIPLING TO ISLINTON ST,1,0,,,,,,,,,,
KIPLING STATION TO ISL,1,0,,,,,,,,,,
KIPLING STATION TO HIG,1,0,,,,,,,,,,
KIPLING STATION PLATFO,1,5,,,,,,,,,,
KIPLING STATION APPROA,1,6,,,,,,,,,,
KIPLING STATION - PLAT,1,3,,,,,,,,,,
KIPLING PLATFORM # 1,1,6,,,,,,,,,,
KIPLING BD STATION,1,0,,,,,,,,,,
KING TO UNION STATIONS,1,0,,,,,,,,,,
KING TO UNION STATION,1,44,,,,,,,,,,
KING TO UNION,1,138,,,,,,,,,,
KING TO OSGOODE,1,0,,,,,,,,,,
KING STATION APPROACHI,1,0,,,,,,,,,,
KING STATION (APPROACH,1,0,,,,,,,,,,
